Period,CPIH,NET
2010 Q2,2.5,244
2010 Q3,2.3,268
2010 Q4,2.7,256
2011 Q1,3.5,277
2011 Q2,3.8,283
2011 Q3,4,275
2011 Q4,4,249
2012 Q1,3.1,215
2012 Q2,2.5,194
2012 Q3,2.2,180
2012 Q4,2.4,161
2013 Q1,2.5,164
2013 Q2,2.4,177
2013 Q3,2.4,206
2013 Q4,1.9,208
2014 Q1,1.6,233
2014 Q2,1.6,252
2014 Q3,1.5,287
2014 Q4,1.1,309
2015 Q1,0.4,331
2015 Q2,0.3,329
2015 Q3,0.4,313
2015 Q4,0.4,329
2016 Q1,0.7,326
2016 Q2,0.7,306
2016 Q3,1,277
2016 Q4,1.5,252
2017 Q1,2.2,243
2017 Q2,2.6,228
2017 Q3,2.7,247
2017 Q4,2.8,249
2018 Q1,2.5,231
2018 Q2,2.2,237
2018 Q3,2.3,247
2018 Q4,2.1,232
2019 Q1,1.8,221
2019 Q2,2,206
2019 Q3,1.8,245
2019 Q4,1.4,271
2020 Q1,1.7,313
