REG_ID,Region,Value
JPC10,Gunma,86585.8
JPA01,Hokkaido,189288
JPC09,Tochigi,90294.2
JPF21,Gifu,76289.3
JPG27,Osaka,387146
JPH33,Okayama,75181.3
JPJ41,Saga,30034.6
JPJ46,Kagoshima,53442.4
JPD13,Tokyo,1030980
JPF23,Aichi,394289
JPF24,Mie,81014.5
JPH35,Yamaguchi,61397.3
JPC08,Ibaraki,135183
JPD12,Chiba,202982
JPB04,Miyagi,91618.2
JPB05,Akita,33908.5
JPB06,Yamagata,41183.1
JPC19,Yamanashi,34443.9
JPD14,Kanagawa,344011
JPG25,Shiga,65185.3
JPJ43,Kumamoto,58968.4
JPJ45,Miyazaki,36023.5
JPJ47,Okinawa,43396.3
JPN,Japan,5447480
JPE16,Toyama,46469.7
JPF22,Shizuoka,168187
JPG26,Kyoto,102725
JPG28,Hyogo,203975
JPG30,Wakayama,34715.7
JPI36,Tokushima,30563.7
JPI37,Kagawa,37130.8
JPB02,Aomori,42132.5
JPB03,Iwate,45649.9
JPB07,Fukushima,76141.5
JPC20,Nagano,82807.8
JPD11,Saitama,223974
JPE15,Niigata,87860.8
JPE17,Ishikawa,45930.2
JPE18,Fukui,33320.5
JPG29,Nara,35856.5
JPH31,Tottori,18377
JPH32,Shimane,24385
JPH34,Hiroshima,112821
JPI38,Ehime,48044.7
JPI39,Kochi,23298.4
JPJ40,Fukuoka,190782
JPJ42,Nagasaki,45042.5
JPJ44,Oita,44443.1
